Instance,best_cmax
" ""1011.txt"" ",2789
" ""1012.txt"" ",3874
" ""1013.txt"" ",2208
" ""1014.txt"" ",4589
" ""1015.txt"" ",2922
" ""1016.txt"" ",6611
" ""1017.txt"" ",3840
" ""1018.txt"" ",3010
" ""1019.txt"" ",3353
" ""1020.txt"" ",5931
" ""1021.txt"" ",1176
" ""1022.txt"" ",1094
" ""1023.txt"" ",2196
" ""1024.txt"" ",1138
" ""1025.txt"" ",1809
" ""1026.txt"" ",1395
" ""1027.txt"" ",937
" ""1028.txt"" ",1378
" ""1029.txt"" ",2719
" ""1030.txt"" ",1367
" ""1031.txt"" ",1361
" ""1032.txt"" ",981
" ""1033.txt"" ",832
" ""1034.txt"" ",1293
" ""1035.txt"" ",1092
" ""1036.txt"" ",802
" ""1037.txt"" ",735
" ""1038.txt"" ",1058
" ""1039.txt"" ",593
" ""1040.txt"" ",867
" ""1041.txt"" ",833
" ""1042.txt"" ",894
" ""1043.txt"" ",953
" ""1044.txt"" ",677
" ""1045.txt"" ",719
" ""1046.txt"" ",618
" ""1047.txt"" ",933
" ""1048.txt"" ",654
" ""1049.txt"" ",1018
" ""1050.txt"" ",645
" ""1051.txt"" ",898
" ""1052.txt"" ",588
" ""1053.txt"" ",571
" ""1054.txt"" ",773
" ""1055.txt"" ",428
" ""1056.txt"" ",445
" ""1057.txt"" ",418
" ""1058.txt"" ",520
" ""1059.txt"" ",554
" ""1060.txt"" ",624
" ""111.txt"" ",444
" ""112.txt"" ",428
" ""113.txt"" ",300
" ""114.txt"" ",361
" ""115.txt"" ",327
" ""116.txt"" ",164
" ""117.txt"" ",515
" ""118.txt"" ",267
" ""119.txt"" ",361
" ""120.txt"" ",315
" ""121.txt"" ",107
" ""122.txt"" ",144
" ""123.txt"" ",121
" ""124.txt"" ",87
" ""125.txt"" ",178
" ""126.txt"" ",103
" ""127.txt"" ",222
" ""128.txt"" ",160
" ""129.txt"" ",122
" ""130.txt"" ",210
" ""131.txt"" ",79
" ""132.txt"" ",99
" ""133.txt"" ",101
" ""134.txt"" ",137
" ""135.txt"" ",77
" ""136.txt"" ",132
" ""137.txt"" ",142
" ""138.txt"" ",123
" ""139.txt"" ",113
" ""140.txt"" ",122
" ""141.txt"" ",68
" ""142.txt"" ",74
" ""143.txt"" ",75
" ""144.txt"" ",113
" ""145.txt"" ",95
" ""146.txt"" ",90
" ""147.txt"" ",73
" ""148.txt"" ",72
" ""149.txt"" ",98
" ""150.txt"" ",87
" ""151.txt"" ",77
" ""152.txt"" ",66
" ""153.txt"" ",62
" ""154.txt"" ",79
" ""155.txt"" ",74
" ""156.txt"" ",67
" ""157.txt"" ",74
" ""158.txt"" ",78
" ""159.txt"" ",69
" ""160.txt"" ",59
" ""211.txt"" ",519
" ""212.txt"" ",479
" ""213.txt"" ",835
" ""214.txt"" ",806
" ""215.txt"" ",602
" ""216.txt"" ",1156
" ""217.txt"" ",584
" ""218.txt"" ",841
" ""219.txt"" ",535
" ""220.txt"" ",660
" ""221.txt"" ",432
" ""222.txt"" ",434
" ""223.txt"" ",182
" ""224.txt"" ",385
" ""225.txt"" ",358
" ""226.txt"" ",358
" ""227.txt"" ",310
" ""228.txt"" ",380
" ""229.txt"" ",393
" ""230.txt"" ",369
" ""231.txt"" ",243
" ""232.txt"" ",163
" ""233.txt"" ",217
" ""234.txt"" ",211
" ""235.txt"" ",279
" ""236.txt"" ",198
" ""237.txt"" ",351
" ""238.txt"" ",163
" ""239.txt"" ",163
" ""240.txt"" ",250
" ""241.txt"" ",133
" ""242.txt"" ",177
" ""243.txt"" ",153
" ""244.txt"" ",127
" ""245.txt"" ",160
" ""246.txt"" ",174
" ""247.txt"" ",207
" ""248.txt"" ",144
" ""249.txt"" ",156
" ""250.txt"" ",160
" ""251.txt"" ",152
" ""252.txt"" ",126
" ""253.txt"" ",164
" ""254.txt"" ",75
" ""255.txt"" ",129
" ""256.txt"" ",121
" ""257.txt"" ",120
" ""258.txt"" ",119
" ""259.txt"" ",146
" ""260.txt"" ",105
" ""511.txt"" ",1323
" ""512.txt"" ",2693
" ""513.txt"" ",2012
" ""514.txt"" ",1305
" ""515.txt"" ",2368
" ""516.txt"" ",2185
" ""517.txt"" ",2469
" ""518.txt"" ",2680
" ""519.txt"" ",1178
" ""520.txt"" ",1290
" ""521.txt"" ",687
" ""522.txt"" ",767
" ""523.txt"" ",877
" ""524.txt"" ",650
" ""525.txt"" ",1206
" ""526.txt"" ",1317
" ""527.txt"" ",927
" ""528.txt"" ",1187
" ""529.txt"" ",484
" ""530.txt"" ",459
" ""531.txt"" ",442
" ""532.txt"" ",557
" ""533.txt"" ",512
" ""534.txt"" ",459
" ""535.txt"" ",453
" ""536.txt"" ",388
" ""537.txt"" ",554
" ""538.txt"" ",664
" ""539.txt"" ",491
" ""540.txt"" ",670
" ""541.txt"" ",323
" ""542.txt"" ",340
" ""543.txt"" ",396
" ""544.txt"" ",328
" ""545.txt"" ",323
" ""546.txt"" ",412
" ""547.txt"" ",443
" ""548.txt"" ",344
" ""549.txt"" ",476
" ""550.txt"" ",372
" ""551.txt"" ",192
" ""552.txt"" ",302
" ""553.txt"" ",296
" ""554.txt"" ",258
" ""555.txt"" ",339
" ""556.txt"" ",201
" ""557.txt"" ",361
" ""558.txt"" ",310
" ""559.txt"" ",252
" ""560.txt"" ",267
